#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
        28   -1.4621320003e+01    2.1405030388e+02   -2.9582952687e+01    1.4961632684e+01    4.4035538912e+00   -3.3986506578e+01    4.0000000000e+03    1.3355448842e-02    4.0318750000e-01
        29   -1.4659280134e+01    2.1520687501e+02   -3.2514938161e+01    1.7855658026e+01    4.4340335600e+00   -3.6948971721e+01    4.0000000000e+03    1.3420924544e-02    4.0303750000e-01
        30   -1.4642849296e+01    2.1467583178e+02   -3.0393739715e+01    1.5750890419e+01    4.4136665835e+00   -3.4807406298e+01    4.0000000000e+03    1.3362586498e-02    4.0408750000e-01
        31   -1.4656584871e+01    2.1510001092e+02   -3.3616597416e+01    1.8960012544e+01    4.3730304117e+00   -3.7989627827e+01    4.0000000000e+03    1.3401567936e-02    4.0515000000e-01
        32   -1.4641226068e+01    2.1464752753e+02   -2.9434296907e+01    1.4793070839e+01    4.4476436677e+00   -3.3881940575e+01    4.0000000000e+03    1.3389766216e-02    4.0420000000e-01
        33   -1.4647061353e+01    2.1481429534e+02   -3.1029869673e+01    1.6382808320e+01    4.3397416440e+00   -3.5369611317e+01    4.0000000000e+03    1.3369590044e-02    4.0215000000e-01
        34   -1.4633934896e+01    2.1441448798e+02   -2.8643437809e+01    1.4009502913e+01    4.2680477907e+00   -3.2911485600e+01    4.0000000000e+03    1.3418585062e-02    4.0762500000e-01
        35   -1.4655575395e+01    2.1503574937e+02   -2.8635374067e+01    1.3979798671e+01    4.4429859923e+00   -3.3078360059e+01    4.0000000000e+03    1.3348340988e-02    4.0215000000e-01
        36   -1.4640737236e+01    2.1461745868e+02   -2.6965962596e+01    1.2325225360e+01    4.4040482533e+00   -3.1370010850e+01    4.0000000000e+03    1.3440042734e-02    4.0750000000e-01
        37   -1.4663083913e+01    2.1528474733e+02   -2.9307299713e+01    1.4644215800e+01    4.4289069375e+00   -3.3736206651e+01    4.0000000000e+03    1.3387754560e-02    4.0268750000e-01
        38   -1.4614035347e+01    2.1381117157e+02   -2.8467123507e+01    1.3853088160e+01    4.4585397955e+00   -3.2925663303e+01    4.0000000000e+03    1.3383001089e-02    4.0411250000e-01
        39   -1.4640273508e+01    2.1459997710e+02   -2.8972294639e+01    1.4332021130e+01    4.4314580472e+00   -3.3403752686e+01    4.0000000000e+03    1.3400197029e-02    4.0371250000e-01
