#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
9.712100000000e-01       1.219696498314e+00       1.925551813026e+00
9.882100000000e-01       1.210493770822e+00       1.842091927820e+00
1.005210000000e+00       1.201405372912e+00       1.760895031083e+00
1.022210000000e+00       1.192452538829e+00       1.681983436699e+00
1.039210000000e+00       1.183654537442e+00       1.605373315319e+00
1.056210000000e+00       1.175028741791e+00       1.531074922161e+00
1.073210000000e+00       1.166590690090e+00       1.459092834675e+00
1.090210000000e+00       1.158354143949e+00       1.389426201807e+00
1.107210000000e+00       1.150331146363e+00       1.322069002160e+00
1.124210000000e+00       1.142532080915e+00       1.257010307796e+00
1.141210000000e+00       1.134965734462e+00       1.194234556067e+00
1.158210000000e+00       1.127639362436e+00       1.133721823311e+00
1.175210000000e+00       1.120558757915e+00       1.075448102615e+00
1.192210000000e+00       1.113728323894e+00       1.019385583006e+00
1.209210000000e+00       1.107151147992e+00       9.655029271736e-01
1.226210000000e+00       1.100829080056e+00       9.137655502411e-01
1.243210000000e+00       1.094762810984e+00       8.641358939429e-01
1.260210000000e+00       1.088951953043e+00       8.165736985508e-01
1.277210000000e+00       1.083395120766e+00       7.710362702995e-01
1.294210000000e+00       1.078090011598e+00       7.274787420128e-01
1.311210000000e+00       1.073033486418e+00       6.858543293409e-01
1.328210000000e+00       1.068221648639e+00       6.461145779672e-01
1.345210000000e+00       1.063649922026e+00       6.082096040364e-01
1.362210000000e+00       1.059313126557e+00       5.720883261080e-01
1.379210000000e+00       1.055205551820e+00       5.376986870500e-01
1.396210000000e+00       1.051321028003e+00       5.049878679915e-01
1.413210000000e+00       1.047652993746e+00       4.739024909247e-01
1.430210000000e+00       1.044194560939e+00       4.443888119487e-01
1.447210000000e+00       1.040938576155e+00       4.163929040593e-01
1.464210000000e+00       1.037877678502e+00       3.898608285831e-01
1.481210000000e+00       1.035004353943e+00       3.647387970048e-01
1.498210000000e+00       1.032310985845e+00       3.409733209890e-01
1.515210000000e+00       1.029789901837e+00       3.185113522449e-01
1.532210000000e+00       1.027433416913e+00       2.973004116839e-01
1.549210000000e+00       1.025233872833e+00       2.772887075415e-01
1.566210000000e+00       1.023183673849e+00       2.584252438161e-01
1.583210000000e+00       1.021275318873e+00       2.406599178695e-01
1.600210000000e+00       1.019501430150e+00       2.239436084666e-01
1.617210000000e+00       1.017854778549e+00       2.082282541345e-01
1.634210000000e+00       1.016328305683e+00       1.934669219316e-01
1.651210000000e+00       1.014915142859e+00       1.796138676021e-01
1.668210000000e+00       1.013608627187e+00       1.666245867598e-01
1.685210000000e+00       1.012402314881e+00       1.544558580180e-01
1.702210000000e+00       1.011289991965e+00       1.430657782425e-01
1.719210000000e+00       1.010265682636e+00       1.324137902777e-01
1.736210000000e+00       1.009323655291e+00       1.224607037867e-01
1.753210000000e+00       1.008458426597e+00       1.131687093900e-01
1.770210000000e+00       1.007664763629e+00       1.045013866993e-01
1.787210000000e+00       1.006937684295e+00       9.642370658855e-02
1.804210000000e+00       1.006272456300e+00       8.890202817367e-02
1.821210000000e+00       1.005664594630e+00       8.190409086489e-02
1.838210000000e+00       1.005109857935e+00       7.539900198546e-02
1.855210000000e+00       1.004604243785e+00       6.935722028662e-02
1.872210000000e+00       1.004143983012e+00       6.375053576131e-02
1.889210000000e+00       1.003725533341e+00       5.855204624370e-02
1.906210000000e+00       1.003345572262e+00       5.373613094328e-02
1.923210000000e+00       1.003000989478e+00       4.927842153553e-02
1.940210000000e+00       1.002688878859e+00       4.515577093250e-02
1.957210000000e+00       1.002406530094e+00       4.134622012065e-02
1.974210000000e+00       1.002151420154e+00       3.782896350191e-02
1.991210000000e+00       1.001921204538e+00       3.458431273159e-02
2.008210000000e+00       1.001713708531e+00       3.159365967650e-02
2.025210000000e+00       1.001526918411e+00       2.883943847076e-02
2.042210000000e+00       1.001358972727e+00       2.630508699685e-02
2.059210000000e+00       1.001208153724e+00       2.397500814242e-02
2.076210000000e+00       1.001072878870e+00       2.183453072517e-02
2.093210000000e+00       1.000951692638e+00       1.986987063642e-02
2.110210000000e+00       1.000843258490e+00       1.806809208742e-02
2.127210000000e+00       1.000746351117e+00       1.641706920859e-02
2.144210000000e+00       1.000659848989e+00       1.490544825729e-02
2.161210000000e+00       1.000582727164e+00       1.352261027025e-02
2.178210000000e+00       1.000514050444e+00       1.225863460470e-02
2.195210000000e+00       1.000452966832e+00       1.110426320254e-02
2.212210000000e+00       1.000398701305e+00       1.005086575049e-02
2.229210000000e+00       1.000350549948e+00       9.090405904565e-03
2.246210000000e+00       1.000307874372e+00       8.215408393314e-03
2.263210000000e+00       1.000270096486e+00       7.418927332027e-03
2.280210000000e+00       1.000236693573e+00       6.694515565671e-03
2.297210000000e+00       1.000207193676e+00       6.036195146822e-03
2.314210000000e+00       1.000181171293e+00       5.438429046613e-03
2.331210000000e+00       1.000158243352e+00       4.896093915220e-03
2.348210000000e+00       1.000138065481e+00       4.404454124174e-03
2.365210000000e+00       1.000120328534e+00       3.959136914118e-03
2.382210000000e+00       1.000104755381e+00       3.556108703455e-03
2.399210000000e+00       1.000091097945e+00       3.191652604181e-03
2.416210000000e+00       1.000079134462e+00       2.862346979022e-03
2.433210000000e+00       1.000068666968e+00       2.565045191449e-03
2.450210000000e+00       1.000059518987e+00       2.296856391649e-03
2.467210000000e+00       1.000051533414e+00       2.055127358852e-03
2.484210000000e+00       1.000044570585e+00       1.837425412460e-03
2.501210000000e+00       1.000038506500e+00       1.641522251128e-03
2.518210000000e+00       1.000033231223e+00       1.465378811843e-03
2.535210000000e+00       1.000028647417e+00       1.307131017671e-03
2.552210000000e+00       1.000024669010e+00       1.165076413268e-03
2.569210000000e+00       1.000021219998e+00       1.037661680979e-03
2.586210000000e+00       1.000018233355e+00       9.234709241212e-04
2.603210000000e+00       1.000015650049e+00       8.212147684479e-04
2.620210000000e+00       1.000013418159e+00       7.297201774983e-04
2.637210000000e+00       1.000011492077e+00       6.479209698035e-04
2.654210000000e+00       1.000009831793e+00       5.748490216684e-04
2.671210000000e+00       1.000008402253e+00       5.096260679999e-04
2.688210000000e+00       1.000007172785e+00       4.514561262661e-04
2.705210000000e+00       1.000006116587e+00       3.996184641512e-04
2.722210000000e+00       1.000005210267e+00       3.534610949002e-04
2.739210000000e+00       1.000004433437e+00       3.123947814672e-04
2.756210000000e+00       1.000003768348e+00       2.758874847049e-04
2.773210000000e+00       1.000003199569e+00       2.434592653273e-04
2.790210000000e+00       1.000002713703e+00       2.146775815852e-04
2.807210000000e+00       1.000002299131e+00       1.891529667647e-04
2.824210000000e+00       1.000001945790e+00       1.665350687991e-04
2.841210000000e+00       1.000001644974e+00       1.465090058266e-04
2.858210000000e+00       1.000001389162e+00       1.287920393399e-04
2.875210000000e+00       1.000001171867e+00       1.131305239584e-04
2.892210000000e+00       1.000000987496e+00       9.929712008943e-05
2.909210000000e+00       1.000000831235e+00       8.708825482568e-05
2.926210000000e+00       1.000000698947e+00       7.632179915227e-05
2.943210000000e+00       1.000000587079e+00       6.683495953892e-05
2.960210000000e+00       1.000000492584e+00       5.848235591224e-05
2.977210000000e+00       1.000000412855e+00       5.113427524986e-05
2.994210000000e+00       1.000000345658e+00       4.467508950088e-05
3.011210000000e+00       1.000000289087e+00       3.900181646943e-05
3.028210000000e+00       1.000000241514e+00       3.402282062197e-05
3.045210000000e+00       1.000000201554e+00       2.965663533418e-05
3.062210000000e+00       1.000000168024e+00       2.583089853344e-05
3.079210000000e+00       1.000000139922e+00       2.248139370687e-05
3.096210000000e+00       1.000000116395e+00       1.955118231671e-05
3.113210000000e+00       1.000000096719e+00       1.698982470403e-05
3.130210000000e+00       1.000000080284e+00       1.475267758188e-05
3.147210000000e+00       1.000000066570e+00       1.280026257441e-05
3.164210000000e+00       1.000000055139e+00       1.110077258322e-05
3.181210000000e+00       1.000000045622e+00       0.000000000000e+00
3.198210000000e+00       1.000000037707e+00       0.000000000000e+00
3.215210000000e+00       1.000000031132e+00       0.000000000000e+00
3.232210000000e+00       1.000000025676e+00       0.000000000000e+00
3.249210000000e+00       1.000000021154e+00       0.000000000000e+00
3.266210000000e+00       1.000000017409e+00       0.000000000000e+00
3.283210000000e+00       1.000000014312e+00       0.000000000000e+00
3.300210000000e+00       1.000000011753e+00       0.000000000000e+00
3.317210000000e+00       1.000000009642e+00       0.000000000000e+00
3.334210000000e+00       1.000000007901e+00       0.000000000000e+00
3.351210000000e+00       1.000000006468e+00       0.000000000000e+00
3.368210000000e+00       1.000000005289e+00       0.000000000000e+00
3.385210000000e+00       1.000000004320e+00       0.000000000000e+00
3.402210000000e+00       1.000000003525e+00       0.000000000000e+00
3.419210000000e+00       1.000000002873e+00       0.000000000000e+00
3.436210000000e+00       1.000000002339e+00       0.000000000000e+00
3.453210000000e+00       1.000000001903e+00       0.000000000000e+00
3.470210000000e+00       1.000000001546e+00       0.000000000000e+00
3.487210000000e+00       1.000000001255e+00       0.000000000000e+00
3.504210000000e+00       1.000000001017e+00       0.000000000000e+00
3.521210000000e+00       1.000000000824e+00       0.000000000000e+00
3.538210000000e+00       1.000000000667e+00       0.000000000000e+00
3.555210000000e+00       1.000000000539e+00       0.000000000000e+00
3.572210000000e+00       1.000000000435e+00       0.000000000000e+00
3.589210000000e+00       1.000000000351e+00       0.000000000000e+00
3.606210000000e+00       1.000000000283e+00       0.000000000000e+00
3.623210000000e+00       1.000000000227e+00       0.000000000000e+00
3.640210000000e+00       1.000000000183e+00       0.000000000000e+00
3.657210000000e+00       1.000000000147e+00       0.000000000000e+00
3.674210000000e+00       1.000000000118e+00       0.000000000000e+00
3.691210000000e+00       1.000000000094e+00       0.000000000000e+00
3.708210000000e+00       1.000000000076e+00       0.000000000000e+00
3.725210000000e+00       1.000000000060e+00       0.000000000000e+00
3.742210000000e+00       1.000000000048e+00       0.000000000000e+00
3.759210000000e+00       1.000000000038e+00       0.000000000000e+00
3.776210000000e+00       1.000000000031e+00       0.000000000000e+00
3.793210000000e+00       1.000000000024e+00       0.000000000000e+00
3.810210000000e+00       1.000000000019e+00       0.000000000000e+00
3.827210000000e+00       1.000000000015e+00       0.000000000000e+00
3.844210000000e+00       1.000000000012e+00       0.000000000000e+00
3.861210000000e+00       1.000000000010e+00       0.000000000000e+00
3.878210000000e+00       1.000000000008e+00       0.000000000000e+00
3.895210000000e+00       1.000000000006e+00       0.000000000000e+00
3.912210000000e+00       1.000000000005e+00       0.000000000000e+00
3.929210000000e+00       1.000000000004e+00       0.000000000000e+00
3.946210000000e+00       1.000000000003e+00       0.000000000000e+00
3.963210000000e+00       1.000000000002e+00       0.000000000000e+00
3.980210000000e+00       1.000000000002e+00       0.000000000000e+00
3.997210000000e+00       1.000000000001e+00       0.000000000000e+00
4.014210000000e+00       1.000000000001e+00       0.000000000000e+00
4.031210000000e+00       1.000000000001e+00       0.000000000000e+00
4.048210000000e+00       1.000000000001e+00       0.000000000000e+00
4.065210000000e+00       1.000000000001e+00       0.000000000000e+00
4.082210000000e+00       1.000000000000e+00       0.000000000000e+00
4.099210000000e+00       1.000000000000e+00       0.000000000000e+00
4.116210000000e+00       1.000000000000e+00       0.000000000000e+00
4.133210000000e+00       1.000000000000e+00       0.000000000000e+00
4.150210000000e+00       1.000000000000e+00       0.000000000000e+00
4.167210000000e+00       1.000000000000e+00       0.000000000000e+00
4.184210000000e+00       1.000000000000e+00       0.000000000000e+00
4.201210000000e+00       1.000000000000e+00       0.000000000000e+00
4.218210000000e+00       1.000000000000e+00       0.000000000000e+00
4.235210000000e+00       1.000000000000e+00       0.000000000000e+00
4.252210000000e+00       1.000000000000e+00       0.000000000000e+00
4.269210000000e+00       1.000000000000e+00       0.000000000000e+00
4.286210000000e+00       1.000000000000e+00       0.000000000000e+00
4.303210000000e+00       1.000000000000e+00       0.000000000000e+00
4.320210000000e+00       1.000000000000e+00       0.000000000000e+00
4.337210000000e+00       1.000000000000e+00       0.000000000000e+00
4.354210000000e+00       1.000000000000e+00       0.000000000000e+00
4.371210000000e+00       1.000000000000e+00       0.000000000000e+00
4.388210000000e+00       1.000000000000e+00       0.000000000000e+00
4.405210000000e+00       1.000000000000e+00       0.000000000000e+00
4.422210000000e+00       1.000000000000e+00       0.000000000000e+00
4.439210000000e+00       1.000000000000e+00       0.000000000000e+00
4.456210000000e+00       1.000000000000e+00       0.000000000000e+00
4.473210000000e+00       1.000000000000e+00       0.000000000000e+00
4.490210000000e+00       1.000000000000e+00       0.000000000000e+00
4.507210000000e+00       1.000000000000e+00       0.000000000000e+00
4.524210000000e+00       1.000000000000e+00       0.000000000000e+00
4.541210000000e+00       1.000000000000e+00       0.000000000000e+00
4.558210000000e+00       1.000000000000e+00       0.000000000000e+00
4.575210000000e+00       1.000000000000e+00       0.000000000000e+00
4.592210000000e+00       1.000000000000e+00       0.000000000000e+00
4.609210000000e+00       1.000000000000e+00       0.000000000000e+00
4.626210000000e+00       1.000000000000e+00       0.000000000000e+00
4.643210000000e+00       1.000000000000e+00       0.000000000000e+00
4.660210000000e+00       1.000000000000e+00       0.000000000000e+00
4.677210000000e+00       1.000000000000e+00       0.000000000000e+00
4.694210000000e+00       1.000000000000e+00       0.000000000000e+00
4.711210000000e+00       1.000000000000e+00       0.000000000000e+00
4.728210000000e+00       1.000000000000e+00       0.000000000000e+00
4.745210000000e+00       1.000000000000e+00       0.000000000000e+00
4.762210000000e+00       1.000000000000e+00       0.000000000000e+00
4.779210000000e+00       1.000000000000e+00       0.000000000000e+00
4.796210000000e+00       1.000000000000e+00       0.000000000000e+00
4.813210000000e+00       1.000000000000e+00       0.000000000000e+00
4.830210000000e+00       1.000000000000e+00       0.000000000000e+00
4.847210000000e+00       1.000000000000e+00       0.000000000000e+00
4.864210000000e+00       1.000000000000e+00       0.000000000000e+00
4.881210000000e+00       1.000000000000e+00       0.000000000000e+00
4.898210000000e+00       1.000000000000e+00       0.000000000000e+00
4.915210000000e+00       1.000000000000e+00       0.000000000000e+00
4.932210000000e+00       1.000000000000e+00       0.000000000000e+00
4.949210000000e+00       1.000000000000e+00       0.000000000000e+00
4.966210000000e+00       1.000000000000e+00       0.000000000000e+00
4.983210000000e+00       1.000000000000e+00       0.000000000000e+00
