#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        19   -4.5042807036e+01    2.0298888086e+03   -8.2491982136e+01    3.7449175099e+01   -1.1100934118e+01   -5.1102678690e+01   -2.3276209503e+01    2.9878401754e+00   -1.0827476613e+01    7.7995579949e-02    2.0800000000e+02    3.0601179635e-02    7.1452824519e-01
        20   -4.5130547106e+01    2.0380275625e+03   -8.1735114171e+01    3.6604567064e+01   -1.1254693270e+01   -5.1102678690e+01   -2.2532920019e+01    3.1551778089e+00   -1.1029362284e+01    7.7995579949e-02    2.0800000000e+02    3.1068386423e-02    7.1950120192e-01
        21   -4.5049450713e+01    2.0305415066e+03   -8.2154977411e+01    3.7105526697e+01   -1.1238074848e+01   -5.1102678690e+01   -2.2376246179e+01    2.5620223074e+00   -1.1008363402e+01    7.7995579949e-02    2.0800000000e+02    3.0636213007e-02    7.1963641827e-01
        22   -4.5068724274e+01    2.0323939638e+03   -8.3034358363e+01    3.7965634088e+01   -1.1280036640e+01   -5.1102678690e+01   -2.3071809906e+01    2.4201668738e+00   -1.1046488962e+01    7.7995579949e-02    2.0800000000e+02    3.1020031005e-02    7.2119891827e-01
        23   -4.5111300298e+01    2.0358860446e+03   -8.2220970433e+01    3.7109670135e+01   -1.1169904552e+01   -5.1102678690e+01   -2.2381584890e+01    2.4331976992e+00   -1.0891192476e+01    7.7995579949e-02    2.0800000000e+02    3.0765441443e-02    7.1888521635e-01
        24   -4.5125034471e+01    2.0372866834e+03   -8.1597018926e+01    3.6471984455e+01   -1.1038174594e+01   -5.1102678690e+01   -2.2336224672e+01    2.8800590302e+00   -1.0763972520e+01    7.7995579949e-02    2.0800000000e+02    3.1330084195e-02    7.1673677885e-01
        25   -4.5102416711e+01    2.0352060099e+03   -8.2160900058e+01    3.7058483347e+01   -1.1268732227e+01   -5.1102678690e+01   -2.2211920688e+01    2.4224315470e+00   -1.0985293913e+01    7.7995579949e-02    2.0800000000e+02    3.0987028098e-02    7.1917067308e-01
        26   -4.5055180434e+01    2.0310656774e+03   -8.2176767010e+01    3.7121586575e+01   -1.1384768911e+01   -5.1102678690e+01   -2.2869776518e+01    3.1804571103e+00   -1.1123730866e+01    7.7995579949e-02    2.0800000000e+02    3.1148237322e-02    7.1944110577e-01
        27   -4.5044901543e+01    2.0298256397e+03   -8.2547654530e+01    3.7502752987e+01   -1.1245645796e+01   -5.1102678690e+01   -2.2308639226e+01    2.1093091820e+00   -1.0974952362e+01    7.7995579949e-02    2.0800000000e+02    3.1873781940e-02    7.1428786058e-01
        28   -4.5107833715e+01    2.0360970629e+03   -8.2360934147e+01    3.7253100432e+01   -1.1144569141e+01   -5.1102678690e+01   -2.3366672764e+01    3.2529864479e+00   -1.0880718870e+01    7.7995579949e-02    2.0800000000e+02    3.0597449950e-02    7.1796875000e-01
