#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
        28   -1.4716387610e+01    2.1668396795e+02   -3.0537039759e+01    1.5820652149e+01    4.0544142905e+00   -3.4591454049e+01    1.6000000000e+01    3.6849379539e-03    6.0989583333e-01
        29   -1.4703569506e+01    2.1630595188e+02   -3.4093838202e+01    1.9390268696e+01    4.3119442813e+00   -3.8405782484e+01    1.6000000000e+01    5.0187110901e-04    5.9687500000e-01
        30   -1.4647279933e+01    2.1463985219e+02   -3.3902080303e+01    1.9254800370e+01    5.6401394211e+00   -3.9542219724e+01    1.6000000000e+01    4.4307112694e-04    6.0468750000e-01
        31   -1.4714242320e+01    2.1661608218e+02   -2.5801969457e+01    1.1087727136e+01    3.7392730748e+00   -2.9541242531e+01    1.6000000000e+01    4.8406422138e-04    6.0052083333e-01
        32   -1.4439328320e+01    2.0863515144e+02   -2.9301370020e+01    1.4862041701e+01    3.9001481944e+00   -3.3201518215e+01    1.6000000000e+01    4.4240057468e-04    6.1145833333e-01
        33   -1.4782876894e+01    2.1872865250e+02   -3.5212740968e+01    2.0429864075e+01    4.2449813750e+00   -3.9457722343e+01    1.6000000000e+01    4.5605003834e-04    5.8958333333e-01
        34   -1.4765014790e+01    2.1818773592e+02   -3.1470285819e+01    1.6705271029e+01    4.8783928943e+00   -3.6348678713e+01    1.6000000000e+01    4.4751167297e-04    5.9791666667e-01
        35   -1.4619691037e+01    2.1386455010e+02   -2.8516889014e+01    1.3897197977e+01    3.9208826172e+00   -3.2437771631e+01    1.6000000000e+01    4.8756599426e-04    6.1093750000e-01
        36   -1.4521533481e+01    2.1101144973e+02   -3.0803293944e+01    1.6281760463e+01    5.2220850420e+00   -3.6025378986e+01    1.6000000000e+01    4.9553811550e-04    5.9531250000e-01
        37   -1.4535879751e+01    2.1143514772e+02   -2.7810183659e+01    1.3274303908e+01    4.2510499015e+00   -3.2061233561e+01    1.6000000000e+01    5.4524838924e-04    6.0937500000e-01
        38   -1.4588601023e+01    2.1290701325e+02   -2.6403972759e+01    1.1815371736e+01    4.4352258734e+00   -3.0839198633e+01    1.6000000000e+01    4.9382448196e-04    5.8645833333e-01
        39   -1.4550786050e+01    2.1178181479e+02   -2.5094781401e+01    1.0543995351e+01    3.8327186170e+00   -2.8927500018e+01    1.6000000000e+01    4.6524405479e-04    5.8802083333e-01
        40   -1.4517485780e+01    2.1090565809e+02   -2.9368451693e+01    1.4850965913e+01    4.0288671692e+00   -3.3397318862e+01    1.6000000000e+01    4.9735605717e-04    6.0989583333e-01
        41   -1.4758580584e+01    2.1793763508e+02   -2.6363784410e+01    1.1605203825e+01    4.7076630471e+00   -3.1071447457e+01    1.6000000000e+01    4.8957765102e-04    6.0312500000e-01
        42   -1.4591557677e+01    2.1299293985e+02   -2.9804637227e+01    1.5213079549e+01    4.7674097422e+00   -3.4572046969e+01    1.6000000000e+01    4.4591724873e-04    5.9479166667e-01
        43   -1.4664719190e+01    2.1520052093e+02   -3.5428220391e+01    2.0763501201e+01    4.7763547750e+00   -4.0204575166e+01    1.6000000000e+01    4.2162835598e-04    5.9218750000e-01
        44   -1.4621278228e+01    2.1392713885e+02   -2.7355319453e+01    1.2734041225e+01    4.8054026773e+00   -3.2160722130e+01    1.6000000000e+01    4.2772293091e-04    5.9322916667e-01
        45   -1.4558212630e+01    2.1203112625e+02   -2.2333666843e+01    7.7754542129e+00    4.0003620435e+00   -2.6334028886e+01    1.6000000000e+01    4.3456256390e-04    5.9739583333e-01
        46   -1.4572535425e+01    2.1247115882e+02   -4.1421469086e+01    2.6848933660e+01    5.7530805367e+00   -4.7174549622e+01    1.6000000000e+01    4.7262012959e-04    5.9270833333e-01
        47   -1.4684616954e+01    2.1567992569e+02   -2.8376863147e+01    1.3692246193e+01    4.5998211477e+00   -3.2976684295e+01    1.6000000000e+01    4.6636164188e-04    6.1093750000e-01
        48   -1.4683780148e+01    2.1570951963e+02   -3.2031973312e+01    1.7348193164e+01    4.1875328255e+00   -3.6219506137e+01    1.6000000000e+01    4.4421851635e-04    5.9322916667e-01
        49   -1.4512696315e+01    2.1067294309e+02   -2.2930892538e+01    8.4181962222e+00    3.8407351003e+00   -2.6771627638e+01    1.6000000000e+01    4.1945278645e-04    5.9062500000e-01
