#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -1.4703517098e+01    2.1629961109e+02   -2.8876386275e+01    1.4172869177e+01    4.3487694562e+00   -3.3225155731e+01    4.8001700000e+05    1.6720747054e+00    9.9969742313e-01
         1   -1.4683174171e+01    2.1571133045e+02   -2.9462063200e+01    1.4778889028e+01    4.2875191831e+00   -3.3749582383e+01    4.8000700000e+05    1.5738103837e+00    9.9966095763e-01
         2   -1.4672080604e+01    2.1538720524e+02   -2.9409600537e+01    1.4737519934e+01    4.2425735661e+00   -3.3652174103e+01    4.7999800000e+05    1.4670889229e+00    9.9967239812e-01
         3   -1.4664297467e+01    2.1516398144e+02   -2.9323975772e+01    1.4659678305e+01    4.2393483900e+00   -3.3563324162e+01    4.7994400000e+05    1.3095951229e+00    9.9964475218e-01
         4   -1.4658445483e+01    2.1499475029e+02   -2.9144566043e+01    1.4486120560e+01    4.2342432532e+00   -3.3378809296e+01    4.7994100000e+05    1.3330871165e+00    9.9967756443e-01
         5   -1.4652766792e+01    2.1482575985e+02   -2.8773942710e+01    1.4121175917e+01    4.2421428783e+00   -3.3016085588e+01    4.7969700000e+05    2.1752960831e+00    9.9967115702e-01
         6   -1.4648357768e+01    2.1469917969e+02   -2.8772934343e+01    1.4124576575e+01    4.2393015185e+00   -3.3012235861e+01    4.7973500000e+05    1.3337254524e+00    9.9968575535e-01
         7   -1.4648451417e+01    2.1470475960e+02   -2.9032488264e+01    1.4384036847e+01    4.2500060761e+00   -3.3282494340e+01    4.7975700000e+05    1.3481914848e+00    9.9968526160e-01
         8   -1.4646907052e+01    2.1465928194e+02   -2.8989950546e+01    1.4343043494e+01    4.2655139091e+00   -3.3255464455e+01    4.7952800000e+05    2.1026344597e+00    9.9965069424e-01
         9   -1.4647861744e+01    2.1468769736e+02   -2.8978944416e+01    1.4331082671e+01    4.2764159911e+00   -3.3255360407e+01    4.7956600000e+05    1.5010438859e+00    9.9964760150e-01
        10   -1.4645518026e+01    2.1462144197e+02   -2.9183870648e+01    1.4538352622e+01    4.2781391264e+00   -3.3462009775e+01    4.7946900000e+05    1.4588252306e+00    9.9965587045e-01
        11   -1.4646542606e+01    2.1465231401e+02   -2.9067608344e+01    1.4421065737e+01    4.2845089263e+00   -3.3352117270e+01    4.7936100000e+05    1.2825116813e+00    9.9966569535e-01
        12   -1.4646298376e+01    2.1464454888e+02   -2.9003591296e+01    1.4357292920e+01    4.2856561356e+00   -3.3289247431e+01    4.7919200000e+05    1.2823599875e+00    9.9965724449e-01
        13   -1.4647642061e+01    2.1468550031e+02   -2.9201190197e+01    1.4553548136e+01    4.2953838257e+00   -3.3496574022e+01    4.7901700000e+05    1.2760690004e+00    9.9967746355e-01
        14   -1.4648466156e+01    2.1470990626e+02   -2.9137411823e+01    1.4488945667e+01    4.2931875778e+00   -3.3430599401e+01    4.7916900000e+05    1.4067922682e+00    9.9966398621e-01
        15   -1.4649697275e+01    2.1474650060e+02   -2.9196728383e+01    1.4547031108e+01    4.3153492933e+00   -3.3512077677e+01    4.7920700000e+05    1.2789497823e+00    9.9966559650e-01
        16   -1.4647475698e+01    2.1467870648e+02   -2.9146618547e+01    1.4499142848e+01    4.3114118409e+00   -3.3458030388e+01    4.7919300000e+05    1.5111594796e+00    9.9965358482e-01
        17   -1.4650143202e+01    2.1475907222e+02   -2.9210914151e+01    1.4560770949e+01    4.3059088110e+00   -3.3516822962e+01    4.7928800000e+05    1.2805167437e+00    9.9966145726e-01
        18   -1.4648318637e+01    2.1470577926e+02   -2.9199949404e+01    1.4551630766e+01    4.3119208751e+00   -3.3511870279e+01    4.7949400000e+05    1.4268009514e+00    9.9963085527e-01
        19   -1.4649260948e+01    2.1473354389e+02   -2.8942977128e+01    1.4293716180e+01    4.3154592668e+00   -3.3258436395e+01    4.7937200000e+05    1.3525639772e+00    9.9965841038e-01
        20   -1.4647539922e+01    2.1468226192e+02   -2.8965770126e+01    1.4318230204e+01    4.3251962500e+00   -3.3290966376e+01    4.7952900000e+05    1.3782724738e+00    9.9965798700e-01
        21   -1.4645557759e+01    2.1462498166e+02   -2.8933871028e+01    1.4288313270e+01    4.3143249306e+00   -3.3248195959e+01    4.7985900000e+05    1.2669230700e+00    9.9965770933e-01
        22   -1.4646332992e+01    2.1464781240e+02   -2.9249269145e+01    1.4602936153e+01    4.3187960746e+00   -3.3568065219e+01    4.8006200000e+05    1.2725203335e+00    9.9961358476e-01
        23   -1.4646838612e+01    2.1466331225e+02   -2.9296506650e+01    1.4649668038e+01    4.3272823154e+00   -3.3623788965e+01    4.8006100000e+05    1.2657317221e+00    9.9964691628e-01
        24   -1.4648491451e+01    2.1471130731e+02   -2.9173932932e+01    1.4525441482e+01    4.3208499850e+00   -3.3494782917e+01    4.8008200000e+05    1.2638634890e+00    9.9964589841e-01
        25   -1.4648907087e+01    2.1472488406e+02   -2.9240603840e+01    1.4591696752e+01    4.3204534427e+00   -3.3561057282e+01    4.7991800000e+05    1.4234860092e+00    9.9967234728e-01
        26   -1.4646392501e+01    2.1465014745e+02   -2.9042360312e+01    1.4395967811e+01    4.3251952909e+00   -3.3367555603e+01    4.7966200000e+05    1.2629722655e+00    9.9967946507e-01
        27   -1.4648928252e+01    2.1472378063e+02   -2.9148679870e+01    1.4499751618e+01    4.3278509493e+00   -3.3476530819e+01    4.7943500000e+05    1.2701587677e+00    9.9967722906e-01
        28   -1.4646969365e+01    2.1466892894e+02   -2.9344193006e+01    1.4697223641e+01    4.3347628966e+00   -3.3678955902e+01    4.7960700000e+05    1.4210849851e+00    9.9966169326e-01
        29   -1.4646067410e+01    2.1464087594e+02   -2.9334018392e+01    1.4687950982e+01    4.3505157102e+00   -3.3684534103e+01    4.7978200000e+05    1.2855081856e+00    9.9966911842e-01
        30   -1.4647244521e+01    2.1467549329e+02   -2.9227354035e+01    1.4580109514e+01    4.3387391539e+00   -3.3566093189e+01    4.7965900000e+05    1.2565392256e+00    9.9966330710e-01
        31   -1.4649313871e+01    2.1473510633e+02   -2.9095734477e+01    1.4446420607e+01    4.3306848661e+00   -3.3426419344e+01    4.7977200000e+05    1.2563804239e+00    9.9967326852e-01
        32   -1.4648448214e+01    2.1471014678e+02   -2.9057962729e+01    1.4409514515e+01    4.3307714363e+00   -3.3388734166e+01    4.7969100000e+05    1.2566972673e+00    9.9964040410e-01
        33   -1.4649076939e+01    2.1473036408e+02   -2.9204786951e+01    1.4555710011e+01    4.3376998578e+00   -3.3542486808e+01    4.7937400000e+05    1.2589884698e+00    9.9965423968e-01
        34   -1.4648450290e+01    2.1471155629e+02   -2.9223739950e+01    1.4575289660e+01    4.3466728076e+00   -3.3570412757e+01    4.7900600000e+05    1.2486912012e+00    9.9965241361e-01
        35   -1.4649851523e+01    2.1475150820e+02   -2.9063141403e+01    1.4413289880e+01    4.3364024938e+00   -3.3399543897e+01    4.7852300000e+05    1.2484397888e+00    9.9966563185e-01
        36   -1.4652889114e+01    2.1483974122e+02   -2.9036442798e+01    1.4383553684e+01    4.3485001559e+00   -3.3384942954e+01    4.7861000000e+05    1.5135548413e+00    9.9967300357e-01
        37   -1.4651725168e+01    2.1480616393e+02   -2.9193008121e+01    1.4541282953e+01    4.3382392898e+00   -3.3531247411e+01    4.7887700000e+05    1.4717469513e+00    9.9966847641e-01
        38   -1.4650474794e+01    2.1476884551e+02   -2.9251042490e+01    1.4600567696e+01    4.3507092019e+00   -3.3601751692e+01    4.7891800000e+05    1.2670481652e+00    9.9967740126e-01
        39   -1.4651361395e+01    2.1479560944e+02   -2.9268963172e+01    1.4617601777e+01    4.3549573509e+00   -3.3623920523e+01    4.7897500000e+05    1.4851698726e+00    9.9965029858e-01
        40   -1.4650526818e+01    2.1477445247e+02   -2.9253365253e+01    1.4602838436e+01    4.3427031238e+00   -3.3596068377e+01    4.7892500000e+05    1.2459568530e+00    9.9965286000e-01
        41   -1.4650894571e+01    2.1478340267e+02   -2.9134228147e+01    1.4483333576e+01    4.3487031857e+00   -3.3482931332e+01    4.7918700000e+05    1.2455195934e+00    9.9964470030e-01
        42   -1.4651576091e+01    2.1480279494e+02   -2.9014500136e+01    1.4362924045e+01    4.3577239535e+00   -3.3372224090e+01    4.7932800000e+05    1.2461145222e+00    9.9967713783e-01
        43   -1.4649286313e+01    2.1473524834e+02   -2.9156456552e+01    1.4507170239e+01    4.3436141491e+00   -3.3500070701e+01    4.7968000000e+05    1.3953403682e+00    9.9967634274e-01
        44   -1.4647120883e+01    2.1467514758e+02   -2.9405903168e+01    1.4758782284e+01    4.3426935248e+00   -3.3748596693e+01    4.7951000000e+05    1.4976030588e+00    9.9968926880e-01
        45   -1.4647569264e+01    2.1468508337e+02   -2.9211674077e+01    1.4564104813e+01    4.3301912559e+00   -3.3541865333e+01    4.7941800000e+05    1.4480832964e+00    9.9968295864e-01
        46   -1.4649056826e+01    2.1472956882e+02   -2.9143547092e+01    1.4494490266e+01    4.3359825108e+00   -3.3479529603e+01    4.7917900000e+05    1.4033321589e+00    9.9968017433e-01
        47   -1.4647607919e+01    2.1468448431e+02   -2.9163893709e+01    1.4516285790e+01    4.3426954592e+00   -3.3506589168e+01    4.7932300000e+05    1.2409363985e+00    9.9966880693e-01
        48   -1.4647743336e+01    2.1469003972e+02   -2.9297858527e+01    1.4650115192e+01    4.3391070597e+00   -3.3636965587e+01    4.7924900000e+05    1.2790657431e+00    9.9966196267e-01
        49   -1.4650748850e+01    2.1477762421e+02   -2.9361249005e+01    1.4710500155e+01    4.3374394396e+00   -3.3698688445e+01    4.7947600000e+05    1.5890630633e+00    9.9966940977e-01
        50   -1.4649198513e+01    2.1473432804e+02   -2.9312499182e+01    1.4663300669e+01    4.3165611203e+00   -3.3629060303e+01    4.7983800000e+05    1.4961920679e+00    9.9965351565e-01
        51   -1.4650236855e+01    2.1476205304e+02   -2.9246710351e+01    1.4596473496e+01    4.3282812971e+00   -3.3574991648e+01    4.7983600000e+05    1.2451888025e+00    9.9967541218e-01
        52   -1.4652824926e+01    2.1483747972e+02   -2.9130489016e+01    1.4477664091e+01    4.3627528941e+00   -3.3493241910e+01    4.7981500000e+05    1.2277927697e+00    9.9967800191e-01
        53   -1.4651709148e+01    2.1480650037e+02   -2.9074865471e+01    1.4423156323e+01    4.3629927248e+00   -3.3437858195e+01    4.7999900000e+05    1.6110229641e+00    9.9967342737e-01
        54   -1.4653743343e+01    2.1486687676e+02   -2.9028728523e+01    1.4374985179e+01    4.3586104256e+00   -3.3387338948e+01    4.7998500000e+05    1.4486212879e+00    9.9964061609e-01
        55   -1.4653523164e+01    2.1486115503e+02   -2.9120254844e+01    1.4466731680e+01    4.3591527020e+00   -3.3479407546e+01    4.7988900000e+05    1.2678358555e+00    9.9966294261e-01
        56   -1.4650346934e+01    2.1476659931e+02   -2.9123869446e+01    1.4473522512e+01    4.3644054774e+00   -3.3488274923e+01    4.7987600000e+05    1.3559830040e+00    9.9965459768e-01
        57   -1.4650931602e+01    2.1478625923e+02   -2.9200334998e+01    1.4549403396e+01    4.3537485118e+00   -3.3554083510e+01    4.7983400000e+05    1.2290271670e+00    9.9965249188e-01
        58   -1.4651294811e+01    2.1479733580e+02   -2.9188639797e+01    1.4537344986e+01    4.3424460301e+00   -3.3531085828e+01    4.7965800000e+05    1.2642559409e+00    9.9964766417e-01
        59   -1.4651998833e+01    2.1481564700e+02   -2.9131050199e+01    1.4479051366e+01    4.3390681645e+00   -3.3470118363e+01    4.7991000000e+05    1.3824647665e+00    9.9967337041e-01
        60   -1.4654618857e+01    2.1489142883e+02   -2.9059677473e+01    1.4405058616e+01    4.3431116725e+00   -3.3402789146e+01    4.8008800000e+05    1.2388290614e+00    9.9967244802e-01
        61   -1.4654690820e+01    2.1489235789e+02   -2.9037929359e+01    1.4383238539e+01    4.3587073218e+00   -3.3396636680e+01    4.8030900000e+05    1.3675812334e+00    9.9966738857e-01
        62   -1.4652581748e+01    2.1483199599e+02   -2.9157231992e+01    1.4504650244e+01    4.3688081626e+00   -3.3526040155e+01    4.8046200000e+05    1.5701343864e+00    9.9964981805e-01
        63   -1.4652405942e+01    2.1482651179e+02   -2.9138921887e+01    1.4486515946e+01    4.3517739585e+00   -3.3490695846e+01    4.8053000000e+05    1.2330285162e+00    9.9966963113e-01
        64   -1.4653262367e+01    2.1485227831e+02   -2.9041337377e+01    1.4388075010e+01    4.3489651512e+00   -3.3390302528e+01    4.8054100000e+05    1.2586911768e+00    9.9966236589e-01
        65   -1.4650633835e+01    2.1477285967e+02   -2.9124794413e+01    1.4474160578e+01    4.3515303806e+00   -3.3476324794e+01    4.8031500000e+05    1.2945962995e+00    9.9966012066e-01
        66   -1.4649816522e+01    2.1474988526e+02   -2.9175509165e+01    1.4525692643e+01    4.3573882019e+00   -3.3532897367e+01    4.8009400000e+05    1.2539905608e+00    9.9965996141e-01
        67   -1.4648400410e+01    2.1470837284e+02   -2.9035376670e+01    1.4386976260e+01    4.3581939872e+00   -3.3393570657e+01    4.8019900000e+05    1.2414447367e+00    9.9967773506e-01
        68   -1.4650200932e+01    2.1476192513e+02   -2.9069455664e+01    1.4419254731e+01    4.3541979568e+00   -3.3423653620e+01    4.7977000000e+05    1.2474912256e+00    9.9965870144e-01
        69   -1.4649956754e+01    2.1475630978e+02   -2.9329098008e+01    1.4679141254e+01    4.3586949340e+00   -3.3687792942e+01    4.7963800000e+05    1.3928733915e+00    9.9966850578e-01
        70   -1.4649836276e+01    2.1475308449e+02   -2.9139673705e+01    1.4489837429e+01    4.3525899280e+00   -3.3492263633e+01    4.7962500000e+05    1.2475840002e+00    9.9964346118e-01
        71   -1.4649828813e+01    2.1475186504e+02   -2.8918967395e+01    1.4269138582e+01    4.3615921126e+00   -3.3280559507e+01    4.7992300000e+05    1.2392173707e+00    9.9965358995e-01
        72   -1.4648800319e+01    2.1472238659e+02   -2.9083606098e+01    1.4434805779e+01    4.3597207205e+00   -3.3443326818e+01    4.7976800000e+05    1.3869625032e+00    9.9967223763e-01
        73   -1.4647366032e+01    2.1468176192e+02   -2.9062314598e+01    1.4414948566e+01    4.3454707067e+00   -3.3407785304e+01    4.7969900000e+05    1.2662841529e+00    9.9967116088e-01
        74   -1.4648642102e+01    2.1471989508e+02   -2.9104986965e+01    1.4456344863e+01    4.3373029189e+00   -3.3442289884e+01    4.7944000000e+05    1.2666124701e+00    9.9966835745e-01
        75   -1.4647930933e+01    2.1469619094e+02   -2.9051114645e+01    1.4403183711e+01    4.3616592015e+00   -3.3412773846e+01    4.7958500000e+05    1.2495909035e+00    9.9968253808e-01
        76   -1.4646686232e+01    2.1465868699e+02   -2.9156892773e+01    1.4510206541e+01    4.3608854917e+00   -3.3517778265e+01    4.7942700000e+05    1.2368230373e+00    9.9967148637e-01
        77   -1.4645664979e+01    2.1463173516e+02   -2.9364737428e+01    1.4719072450e+01    4.3596776754e+00   -3.3724415104e+01    4.7953600000e+05    1.2422782481e+00    9.9966634777e-01
        78   -1.4647450259e+01    2.1468871468e+02   -2.9318009172e+01    1.4670558913e+01    4.3597320803e+00   -3.3677741253e+01    4.7932600000e+05    1.2424288243e+00    9.9964637358e-01
        79   -1.4650713252e+01    2.1477944594e+02   -2.9269619474e+01    1.4618906222e+01    4.3755346410e+00   -3.3645154115e+01    4.7893500000e+05    1.2425167561e+00    9.9965497250e-01
        80   -1.4649267030e+01    2.1473649351e+02   -2.9330832321e+01    1.4681565291e+01    4.3660513110e+00   -3.3696883632e+01    4.7892100000e+05    1.2690669000e+00    9.9966851788e-01
        81   -1.4649984761e+01    2.1475803672e+02   -2.9312985594e+01    1.4663000832e+01    4.3756296917e+00   -3.3688615285e+01    4.7904700000e+05    1.2485042065e+00    9.9965922250e-01
        82   -1.4648250725e+01    2.1470659103e+02   -2.9151590707e+01    1.4503339982e+01    4.3759554348e+00   -3.3527546142e+01    4.7893700000e+05    1.5127705336e+00    9.9965966302e-01
        83   -1.4648774017e+01    2.1471858800e+02   -2.9176868424e+01    1.4528094407e+01    4.3658341736e+00   -3.3542702598e+01    4.7884200000e+05    1.4627018571e+00    9.9967578471e-01
        84   -1.4648664297e+01    2.1471483135e+02   -2.9191950631e+01    1.4543286334e+01    4.3699720580e+00   -3.3561922689e+01    4.7884800000e+05    1.2501200587e+00    9.9965227528e-01
        85   -1.4650719733e+01    2.1477647974e+02   -2.9222133483e+01    1.4571413750e+01    4.3771021279e+00   -3.3599235611e+01    4.7879900000e+05    1.2683454156e+00    9.9965800695e-01
        86   -1.4652426076e+01    2.1482596175e+02   -2.9289313601e+01    1.4636887526e+01    4.3890341567e+00   -3.3678347758e+01    4.7870800000e+05    2.2153231651e+00    9.9966943333e-01
        87   -1.4652564258e+01    2.1482954704e+02   -2.9242519145e+01    1.4589954887e+01    4.3715446806e+00   -3.3614063826e+01    4.7840400000e+05    3.3261999637e+00    9.9966556425e-01
        88   -1.4650821349e+01    2.1479407060e+02   -2.9402155586e+01    1.4751334237e+01    4.3764690376e+00   -3.3778624624e+01    4.7864500000e+05    3.2468427122e+00    9.9966989723e-01
        89   -1.4649175946e+01    2.1473267240e+02   -2.9387899274e+01    1.4738723328e+01    4.3790928606e+00   -3.3766992134e+01    4.7913600000e+05    3.0090389252e+00    9.9966813412e-01
        90   -1.4649840972e+01    2.1475267066e+02   -2.9324356597e+01    1.4674515625e+01    4.3742071100e+00   -3.3698563707e+01    4.7971000000e+05    1.5578618795e+00    9.9966541153e-01
        91   -1.4650204733e+01    2.1476329362e+02   -2.9297243013e+01    1.4647038281e+01    4.3689426096e+00   -3.3666185623e+01    4.8002800000e+05    1.4880235940e+00    9.9965470200e-01
        92   -1.4649345809e+01    2.1473341920e+02   -2.9227625775e+01    1.4578279967e+01    4.3668656779e+00   -3.3594491453e+01    4.7991700000e+05    1.3307063282e+00    9.9967807452e-01
        93   -1.4648729946e+01    2.1472278805e+02   -2.9321130943e+01    1.4672400997e+01    4.3700811315e+00   -3.3691212075e+01    4.8008400000e+05    1.4433476627e+00    9.9967557876e-01
        94   -1.4649313021e+01    2.1473560928e+02   -2.9399188163e+01    1.4749875143e+01    4.3843440760e+00   -3.3783532239e+01    4.7992300000e+05    1.4481779635e+00    9.9964109391e-01
        95   -1.4648681866e+01    2.1471773225e+02   -2.9338740781e+01    1.4690058915e+01    4.3833027966e+00   -3.3722043577e+01    4.8004500000e+05    1.5637539029e+00    9.9967033388e-01
        96   -1.4647396938e+01    2.1467984008e+02   -2.9154592131e+01    1.4507195193e+01    4.3814313418e+00   -3.3536023473e+01    4.8000300000e+05    1.4822540432e+00    9.9966824073e-01
        97   -1.4651365408e+01    2.1479717411e+02   -2.9115901903e+01    1.4464536495e+01    4.3842171508e+00   -3.3500119054e+01    4.7976500000e+05    1.4676596969e+00    9.9964306917e-01
        98   -1.4650792511e+01    2.1478037880e+02   -2.9223465080e+01    1.4572672569e+01    4.3782369917e+00   -3.3601702072e+01    4.7968900000e+05    1.2895748615e+00    9.9966072767e-01
        99   -1.4648815092e+01    2.1472366453e+02   -2.9219634795e+01    1.4570819703e+01    4.3920786703e+00   -3.3611713465e+01    4.7967900000e+05    1.2795365006e+00    9.9966174649e-01
       100   -1.4651164445e+01    2.1478984317e+02   -2.9328096772e+01    1.4676932327e+01    4.3978208637e+00   -3.3725917636e+01    4.7978000000e+05    1.4405369908e+00    9.9967589836e-01
       101   -1.4650899360e+01    2.1478204550e+02   -2.9300286812e+01    1.4649387452e+01    4.3866133234e+00   -3.3686900136e+01    4.7962400000e+05    1.2547915280e+00    9.9968308661e-01
       102   -1.4649302629e+01    2.1473515209e+02   -2.9329738987e+01    1.4680436358e+01    4.3842929532e+00   -3.3714031940e+01    4.7951300000e+05    1.5364993662e+00    9.9965955178e-01
       103   -1.4651436420e+01    2.1479801520e+02   -2.9352470651e+01    1.4701034231e+01    4.3774239793e+00   -3.3729894630e+01    4.7947400000e+05    1.4794526100e+00    9.9966734558e-01
       104   -1.4652879146e+01    2.1484354194e+02   -2.9391104867e+01    1.4738225721e+01    4.3795949297e+00   -3.3770699797e+01    4.7933200000e+05    1.2356856018e+00    9.9966881300e-01
       105   -1.4653445622e+01    2.1485615901e+02   -2.9223052595e+01    1.4569606973e+01    4.3810911685e+00   -3.3604143763e+01    4.7940300000e+05    1.2405077219e+00    9.9964643751e-01
       106   -1.4651468616e+01    2.1479715097e+02   -2.9183662444e+01    1.4532193827e+01    4.3714698560e+00   -3.3555132299e+01    4.7951200000e+05    1.2822012454e+00    9.9965850014e-01
       107   -1.4652921177e+01    2.1484053423e+02   -2.9146566003e+01    1.4493644826e+01    4.3645457070e+00   -3.3511111710e+01    4.7973600000e+05    1.2457484007e+00    9.9965658962e-01
