#  Lmax = 1 nonlocal L channels1
#  Units = bohr hartree 
#  r  -r*V/zeff   Vnl ... 
2.210000000000e-03       1.763313613016e-02       8.585829631631e+01
1.921000000000e-02       1.525235947436e-01       8.543247310999e+01
3.621000000000e-02       2.839626430929e-01       8.434042054037e+01
5.321000000000e-02       4.092372638426e-01       8.260775286042e+01
7.021000000000e-02       5.260639874506e-01       8.027459515649e+01
8.721000000000e-02       6.326502960606e-01       7.739407049192e+01
1.042100000000e-01       7.277262363803e-01       7.403030290426e+01
1.212100000000e-01       8.105463282236e-01       7.025603228660e+01
1.382100000000e-01       8.808646618080e-01       6.615001910454e+01
1.552100000000e-01       9.388869189687e-01       6.179432546022e+01
1.722100000000e-01       9.852047268714e-01       5.727162045072e+01
1.892100000000e-01       1.020718353111e+00       5.266263856902e+01
2.062100000000e-01       1.046553589613e+00       4.804387373355e+01
2.232100000000e-01       1.063978780433e+00       4.348562141592e+01
2.402100000000e-01       1.074326805317e+00       3.905041086233e+01
2.572100000000e-01       1.078926051310e+00       3.479187181864e+01
2.742100000000e-01       1.079043089736e+00       3.075404485982e+01
2.912100000000e-01       1.075838638482e+00       2.697111833697e+01
3.082100000000e-01       1.070337117892e+00       2.346755948507e+01
3.252100000000e-01       1.063409241697e+00       2.025858738558e+01
3.422100000000e-01       1.055766223250e+00       1.735092599875e+01
3.592100000000e-01       1.047963608028e+00       1.474376540081e+01
3.762100000000e-01       1.040412621712e+00       1.242986556074e+01
3.932100000000e-01       1.033396620796e+00       1.039672874050e+01
4.102100000000e-01       1.027090586815e+00       8.627783731912e+00
4.272100000000e-01       1.021581731094e+00       7.103527373313e+00
4.442100000000e-01       1.016889655635e+00       5.802579767942e+00
4.612100000000e-01       1.012984970135e+00       4.702626064216e+00
4.782100000000e-01       1.009805554008e+00       3.781220778153e+00
4.952100000000e-01       1.007270093744e+00       3.016448266077e+00
5.122100000000e-01       1.005288770062e+00       2.387437410695e+00
5.292100000000e-01       1.003771218851e+00       1.874737063158e+00
5.462100000000e-01       1.002632045366e+00       1.460565368413e+00
5.632100000000e-01       1.001794266607e+00       1.128947882447e+00
5.802100000000e-01       1.001191092067e+00       8.657630607084e-01
5.972100000000e-01       1.000766451133e+00       6.587133489305e-01
6.142100000000e-01       1.000474643401e+00       4.972401043369e-01
6.312100000000e-01       1.000279423010e+00       3.723986403600e-01
6.482100000000e-01       1.000152781786e+00       2.767083617575e-01
6.652100000000e-01       1.000073618092e+00       2.039899456343e-01
6.822100000000e-01       1.000026429642e+00       1.491995331872e-01
6.992100000000e-01       1.000000117511e+00       1.082675898183e-01
7.162100000000e-01       9.999869450584e-01       7.794741346002e-02
7.332100000000e-01       9.999816726860e-01       5.567717635677e-02
7.502100000000e-01       9.999808631834e-01       3.945708633365e-02
7.672100000000e-01       9.999823433488e-01       2.774246141192e-02
7.842100000000e-01       9.999848000139e-01       1.935251104990e-02
8.012100000000e-01       9.999874857789e-01       1.339373994825e-02
8.182100000000e-01       9.999900117602e-01       9.196840331555e-03
8.352100000000e-01       9.999922060458e-01       6.265385555968e-03
8.522100000000e-01       9.999940204728e-01       4.234762313875e-03
8.692100000000e-01       9.999954716142e-01       2.839767032216e-03
8.862100000000e-01       9.999966051109e-01       1.889333157809e-03
9.032100000000e-01       9.999974754038e-01       1.247115315703e-03
9.202100000000e-01       9.999981351657e-01       8.167274089661e-04
9.372100000000e-01       9.999986305634e-01       5.306639760155e-04
9.542100000000e-01       9.999989998020e-01       3.420854746863e-04
9.712100000000e-01       9.999992733635e-01       2.187871235098e-04
9.882100000000e-01       9.999994749837e-01       1.388292878942e-04
1.005210000000e+00       9.999996228495e-01       8.740031524542e-05
1.022210000000e+00       9.999997307485e-01       5.459045161097e-05
1.039210000000e+00       9.999998090604e-01       3.382930573403e-05
1.056210000000e+00       9.999998655638e-01       2.079895407704e-05
