#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        19   -4.5138606757e+01    2.0391025762e+03   -8.2686267042e+01    3.7547660285e+01   -1.1131130144e+01   -5.1102678690e+01   -2.3346485150e+01    2.8940269431e+00   -1.0861766579e+01    1.0296874312e-01    2.0500000000e+03    7.5551928196e-01    9.8995481192e-01
        20   -4.5084729869e+01    2.0340132860e+03   -8.2939176591e+01    3.7854446722e+01   -1.1135540775e+01   -5.1102678690e+01   -2.3423414254e+01    2.7224571294e+00   -1.0870493116e+01    1.0296874312e-01    2.0480000000e+03    7.5059456704e-01    9.9013719512e-01
        21   -4.5134010351e+01    2.0384242904e+03   -8.3149567188e+01    3.8015556837e+01   -1.1154722232e+01   -5.1102678690e+01   -2.3506942065e+01    2.6147757997e+00   -1.0890165997e+01    1.0296874312e-01    2.0480000000e+03    7.4956179503e-01    9.9104309082e-01
        22   -4.5122670562e+01    2.0376145609e+03   -8.3010804287e+01    3.7888133725e+01   -1.1104110268e+01   -5.1102678690e+01   -2.3465737565e+01    2.6617222365e+00   -1.0839617670e+01    1.0296874312e-01    2.0490000000e+03    7.5417382293e-01    9.9024963379e-01
        23   -4.5123773561e+01    2.0374100552e+03   -8.2922284782e+01    3.7798511222e+01   -1.1153901455e+01   -5.1102678690e+01   -2.3293455287e+01    2.6277506500e+00   -1.0885427126e+01    1.0296874312e-01    2.0490000000e+03    7.5189970306e-01    9.9092545144e-01
        24   -4.5138915218e+01    2.0388613805e+03   -8.2724381612e+01    3.7585466394e+01   -1.1233786288e+01   -5.1102678690e+01   -2.3049327145e+01    2.6614105119e+00   -1.0971109483e+01    1.0296874312e-01    2.0440000000e+03    7.5193785992e-01    9.9071193265e-01
        25   -4.5168825211e+01    2.0418104235e+03   -8.2720826558e+01    3.7552001348e+01   -1.1207638651e+01   -5.1102678690e+01   -2.2926069145e+01    2.5155599283e+00   -1.0944657635e+01    1.0296874312e-01    2.0450000000e+03    7.4486768909e-01    9.9010824364e-01
        26   -4.5134686163e+01    2.0385382566e+03   -8.2701982784e+01    3.7567296621e+01   -1.1228970289e+01   -5.1102678690e+01   -2.3018522686e+01    2.6481888810e+00   -1.0963987468e+01    1.0296874312e-01    2.0420000000e+03    7.4544329499e-01    9.9095354523e-01
        27   -4.5159410326e+01    2.0410504887e+03   -8.2574100802e+01    3.7414690476e+01   -1.1212579152e+01   -5.1102678690e+01   -2.2937742064e+01    2.6788991052e+00   -1.0948991187e+01    1.0296874312e-01    2.0470000000e+03    7.5159097905e-01    9.9014446621e-01
        28   -4.5157480433e+01    2.0407311669e+03   -8.2648213878e+01    3.7490733445e+01   -1.1222149656e+01   -5.1102678690e+01   -2.3061631126e+01    2.7382455939e+00   -1.0955663331e+01    1.0296874312e-01    2.0580000000e+03    7.5544281700e-01    9.9038226673e-01
