 # N_det    E_var        E_var + PT2
        1   -29.1313496052   -29.2503474648
        5   -29.1732215743   -29.2606331620
       11   -29.1847981016   -29.2575352089
       25   -29.2084534887   -29.2548601535
       52   -29.2237497476   -29.2564021180
      105   -29.2308736686   -29.2555363637
      212   -29.2372094297   -29.2550859482
      425   -29.2421577627   -29.2547511374
      851   -29.2451775212   -29.2545644534
     1708   -29.2480903638   -29.2545498208
     3420   -29.2502047877   -29.2545833100
     6843   -29.2518482274   -29.2546031428
    13689   -29.2528773191   -29.2546158592
    27396   -29.2535521753   -29.2546199843
    54793   -29.2539700631   -29.2546269824
   109589   -29.2542533010   -29.2546276895
   219191   -29.2544197174   -29.2546295340
   438384   -29.2545157307   -29.2546298561
